Date/Time,Cooling:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,0.0,0.0 
 01/01  02:00:00,0.0,0.0 
 01/01  03:00:00,0.0,0.0 
 01/01  04:00:00,0.0,0.0 
 01/01  05:00:00,0.0,0.0 
 01/01  06:00:00,0.0,0.0 
 01/01  07:00:00,0.0,0.0 
 01/01  08:00:00,0.0,0.0 
 01/01  09:00:00,0.0,0.0 
 01/01  10:00:00,7357356.043004035,0.0 
 01/01  11:00:00,8617902.774025403,0.0 
 01/01  12:00:00,10162181.109430261,0.0 
 01/01  13:00:00,11764106.069599575,0.0 
 01/01  14:00:00,13286097.76630773,0.0 
 01/01  15:00:00,14577951.364696699,0.0 
 01/01  16:00:00,15492995.197392736,0.0 
 01/01  17:00:00,15622517.064996742,0.0 
 01/01  18:00:00,0.0,0.0 
 01/01  19:00:00,0.0,0.0 
 01/01  20:00:00,0.0,0.0 
 01/01  21:00:00,0.0,0.0 
 01/01  22:00:00,0.0,0.0 
 01/01  23:00:00,0.0,0.0 
 01/01  24:00:00,0.0,0.0 
 01/02  01:00:00,0.0,0.0 
 01/02  02:00:00,0.0,0.0 
 01/02  03:00:00,0.0,0.0 
 01/02  04:00:00,0.0,0.0 
 01/02  05:00:00,0.0,0.0 
 01/02  06:00:00,0.0,0.0 
 01/02  07:00:00,0.0,0.0 
 01/02  08:00:00,0.0,0.0 
 01/02  09:00:00,0.0,0.0 
 01/02  10:00:00,7691079.8196305329,0.0 
 01/02  11:00:00,8914407.306150929,0.0 
 01/02  12:00:00,10587687.482179072,0.0 
 01/02  13:00:00,12415492.181538986,0.0 
 01/02  14:00:00,13906694.151408846,0.0 
 01/02  15:00:00,15164822.886473041,0.0 
 01/02  16:00:00,15754968.078024766,0.0 
 01/02  17:00:00,15547060.473270456,0.0 
 01/02  18:00:00,0.0,0.0 
 01/02  19:00:00,0.0,0.0 
 01/02  20:00:00,0.0,0.0 
 01/02  21:00:00,0.0,0.0 
 01/02  22:00:00,0.0,0.0 
 01/02  23:00:00,0.0,0.0 
 01/02  24:00:00,0.0,0.0 
 01/03  01:00:00,0.0,0.0 
 01/03  02:00:00,0.0,0.0 
 01/03  03:00:00,0.0,0.0 
 01/03  04:00:00,0.0,0.0 
 01/03  05:00:00,0.0,0.0 
 01/03  06:00:00,0.0,0.0 
 01/03  07:00:00,0.0,0.0 
 01/03  08:00:00,0.0,0.0 
 01/03  09:00:00,0.0,0.0 
 01/03  10:00:00,7940295.248414737,0.0 
 01/03  11:00:00,9224436.248603378,0.0 
 01/03  12:00:00,10956848.641459458,0.0 
 01/03  13:00:00,12860778.360322217,0.0 
 01/03  14:00:00,14670146.393486008,0.0 
 01/03  15:00:00,16192343.4648573,0.0 
 01/03  16:00:00,17074808.2421538,0.0 
 01/03  17:00:00,17290762.66066491,0.0 
 01/03  18:00:00,0.0,0.0 
 01/03  19:00:00,0.0,0.0 
 01/03  20:00:00,0.0,0.0 
 01/03  21:00:00,0.0,0.0 
 01/03  22:00:00,0.0,0.0 
 01/03  23:00:00,0.0,0.0 
 01/03  24:00:00,0.0,0.0 
 01/04  01:00:00,0.0,0.0 
 01/04  02:00:00,0.0,0.0 
 01/04  03:00:00,0.0,0.0 
 01/04  04:00:00,0.0,0.0 
 01/04  05:00:00,0.0,0.0 
 01/04  06:00:00,0.0,0.0 
 01/04  07:00:00,0.0,0.0 
 01/04  08:00:00,0.0,0.0 
 01/04  09:00:00,0.0,0.0 
 01/04  10:00:00,8182641.119448392,0.0 
 01/04  11:00:00,9441809.876061757,0.0 
 01/04  12:00:00,11152746.918984855,0.0 
 01/04  13:00:00,12916863.370193197,0.0 
 01/04  14:00:00,14288206.551628434,0.0 
 01/04  15:00:00,15430047.324825462,0.0 
 01/04  16:00:00,15940892.499629025,0.0 
 01/04  17:00:00,15710839.81018153,0.0 
 01/04  18:00:00,0.0,0.0 
 01/04  19:00:00,0.0,0.0 
 01/04  20:00:00,0.0,0.0 
 01/04  21:00:00,0.0,0.0 
 01/04  22:00:00,0.0,0.0 
 01/04  23:00:00,0.0,0.0 
 01/04  24:00:00,0.0,0.0 
 01/05  01:00:00,0.0,0.0 
 01/05  02:00:00,0.0,0.0 
 01/05  03:00:00,0.0,0.0 
 01/05  04:00:00,0.0,0.0 
 01/05  05:00:00,0.0,0.0 
 01/05  06:00:00,0.0,0.0 
 01/05  07:00:00,0.0,0.0 
 01/05  08:00:00,0.0,0.0 
 01/05  09:00:00,0.0,0.0 
 01/05  10:00:00,8043180.632068686,0.0 
 01/05  11:00:00,9274490.311489253,0.0 
 01/05  12:00:00,10962784.950043455,0.0 
 01/05  13:00:00,12706661.223316847,0.0 
 01/05  14:00:00,14042485.604090643,0.0 
 01/05  15:00:00,14809501.78855831,0.0 
 01/05  16:00:00,14658347.660743058,0.0 
 01/05  17:00:00,13755680.158536226,0.0 
 01/05  18:00:00,0.0,0.0 
 01/05  19:00:00,0.0,0.0 
 01/05  20:00:00,0.0,0.0 
 01/05  21:00:00,0.0,0.0 
 01/05  22:00:00,0.0,0.0 
 01/05  23:00:00,0.0,0.0 
 01/05  24:00:00,0.0,0.0 
 01/06  01:00:00,0.0,0.0 
 01/06  02:00:00,0.0,0.0 
 01/06  03:00:00,0.0,0.0 
 01/06  04:00:00,0.0,0.0 
 01/06  05:00:00,0.0,0.0 
 01/06  06:00:00,0.0,0.0 
 01/06  07:00:00,0.0,0.0 
 01/06  08:00:00,0.0,0.0 
 01/06  09:00:00,0.0,0.0 
 01/06  10:00:00,7321912.303578904,0.0 
 01/06  11:00:00,8663927.571597223,0.0 
 01/06  12:00:00,10368003.098772847,0.0 
 01/06  13:00:00,12224302.167986019,0.0 
 01/06  14:00:00,13756880.567862822,0.0 
 01/06  15:00:00,15102514.288197274,0.0 
 01/06  16:00:00,15798286.036706612,0.0 
 01/06  17:00:00,15643796.102874458,0.0 
 01/06  18:00:00,0.0,0.0 
 01/06  19:00:00,0.0,0.0 
 01/06  20:00:00,0.0,0.0 
 01/06  21:00:00,0.0,0.0 
 01/06  22:00:00,0.0,0.0 
 01/06  23:00:00,0.0,0.0 
 01/06  24:00:00,0.0,0.0 
 01/07  01:00:00,0.0,0.0 
 01/07  02:00:00,0.0,0.0 
 01/07  03:00:00,0.0,0.0 
 01/07  04:00:00,0.0,0.0 
 01/07  05:00:00,0.0,0.0 
 01/07  06:00:00,0.0,0.0 
 01/07  07:00:00,0.0,0.0 
 01/07  08:00:00,0.0,0.0 
 01/07  09:00:00,0.0,0.0 
 01/07  10:00:00,7630082.622757855,0.0 
 01/07  11:00:00,8931228.852357347,0.0 
 01/07  12:00:00,10612735.487665888,0.0 
 01/07  13:00:00,12467093.96187462,0.0 
 01/07  14:00:00,14058382.798006105,0.0 
 01/07  15:00:00,15522378.481043229,0.0 
 01/07  16:00:00,16336148.238630172,0.0 
 01/07  17:00:00,16262757.421836479,0.0 
 01/07  18:00:00,0.0,0.0 
 01/07  19:00:00,0.0,0.0 
 01/07  20:00:00,0.0,0.0 
 01/07  21:00:00,0.0,0.0 
 01/07  22:00:00,0.0,0.0 
 01/07  23:00:00,0.0,0.0 
 01/07  24:00:00,0.0,0.0 
 01/08  01:00:00,0.0,0.0 
 01/08  02:00:00,0.0,0.0 
 01/08  03:00:00,0.0,0.0 
 01/08  04:00:00,0.0,0.0 
 01/08  05:00:00,0.0,0.0 
 01/08  06:00:00,0.0,0.0 
 01/08  07:00:00,0.0,0.0 
 01/08  08:00:00,0.0,0.0 
 01/08  09:00:00,0.0,0.0 
 01/08  10:00:00,7749672.678270376,0.0 
 01/08  11:00:00,9034158.957775779,0.0 
 01/08  12:00:00,10770197.035010923,0.0 
 01/08  13:00:00,12706293.815090439,0.0 
 01/08  14:00:00,14524730.423580287,0.0 
 01/08  15:00:00,15903738.851721462,0.0 
 01/08  16:00:00,16829143.118397744,0.0 
 01/08  17:00:00,17153054.045711537,0.0 
 01/08  18:00:00,0.0,0.0 
 01/08  19:00:00,0.0,0.0 
 01/08  20:00:00,0.0,0.0 
 01/08  21:00:00,0.0,0.0 
 01/08  22:00:00,0.0,0.0 
 01/08  23:00:00,0.0,0.0 
 01/08  24:00:00,0.0,0.0 
 01/09  01:00:00,0.0,0.0 
 01/09  02:00:00,0.0,0.0 
 01/09  03:00:00,0.0,0.0 
 01/09  04:00:00,0.0,0.0 
 01/09  05:00:00,0.0,0.0 
 01/09  06:00:00,0.0,0.0 
 01/09  07:00:00,0.0,0.0 
 01/09  08:00:00,0.0,0.0 
 01/09  09:00:00,0.0,0.0 
 01/09  10:00:00,8376718.284780467,0.0 
 01/09  11:00:00,9592199.6433742,0.0 
 01/09  12:00:00,11396235.311766487,0.0 
 01/09  13:00:00,13174858.852033163,0.0 
 01/09  14:00:00,14823854.149010685,0.0 
 01/09  15:00:00,16391146.996058245,0.0 
 01/09  16:00:00,17190869.16969435,0.0 
 01/09  17:00:00,17185858.297248458,0.0 
 01/09  18:00:00,0.0,0.0 
 01/09  19:00:00,0.0,0.0 
 01/09  20:00:00,0.0,0.0 
 01/09  21:00:00,0.0,0.0 
 01/09  22:00:00,0.0,0.0 
 01/09  23:00:00,0.0,0.0 
 01/09  24:00:00,0.0,0.0 
